record,subsystem,category,on_css,in_profile,in_baseline,css_fields,css_screens,profile_device,profile_dotted,classname,read_only
HFM:GET-VOUT7,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch7,EpicsSignal,RW
HFM:GET-VOUT8,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch8,EpicsSignal,RW
HFM:GET-VOUT9,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch9,EpicsSignal,RW
HFM:GET-VTRGT0,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch0_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT1,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch1_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT10,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch10_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT11,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch11_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT12,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch12_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT13,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch13_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT14,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch14_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT15,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch15_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT2,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch2_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT3,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch3_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT4,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch4_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT5,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch5_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT6,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch6_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT7,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch7_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT8,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch8_trg_rb,EpicsSignalRO,RO
HFM:GET-VTRGT9,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch9_trg_rb,EpicsSignalRO,RO
HFM:RESET-LASTERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
HFM:SET-ALLOFF,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
HFM:SET-ALLON,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
HFM:SET-ALLSHIFT,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-ao.bob,hfm_voltage,shift_rel,EpicsSignal,RW
HFM:SET-ALLTRGT,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-ao.bob,hfm_voltage,apply_sig,EpicsSignal,RW
HFM:SET-ALLVOLT,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-HVFAN,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-KILLERAPPLY,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-KILLERDEL,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-KILLERSTOP,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-MODE,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-SHIFT0,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT1,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
